formula,space_group
Ag4Cl4O12,198
Li4Sb4F16,198
Hg12Cl16O4,198
K36Fe8O28,198
Mn8H32S12N8O48,198
Ag28P4S24,198
Rb8Er4Ti4P12O48,198
K8Be12Ni8F48,198
Be12Tl8Cd8F48,198
K8Yb4Ti4P12O48,198
K8Y4Hf4P12O48,198
Li12La8H24N36O120,198
Yb4Mg4Ni4H16,198
K8Er8P12O48,198
Na24Zn12As16H24O76,198
Ag28As4S24,198
Li8Mn12Co4O32,198
Cs4Ba4In8P12O48,198
Ag28As4Se24,198
Na12Sb4H72S16O36,198
Co4Ge4,198
Cs8Zr4Mn4P12O48,198
Li12Nd8H24N36O120,198
K8Ti8P12O48,198
Sb4Pt4Se4,198
K8Y4Ti4P12O48,198
K8Y8P12O48,198
Sn8Cl4F12,198
Hf4S4O4,198
Sb4As4Pd4,198
Na24Zn12P16H24O76,198
Rb8Ti8P12O48,198
Fe4Mo12Pt4N4,198
Sr32Al28,198
K8Er4Ti4P12O48,198
K8Be12Zn8F48,198
Li12Sb4H72S16O36,198
K8Al4Sn4P12O48,198
K8Pr4Zr4P12O48,198
Na12As4H72Se16O36,198
Hg12As4Cl4O16,198
K8Yb8P12O48,198
Ag16Te4S4O16,198
Co4Sb4S4,198
Tl8Fe8S12O48,198
Ge4Ru4,198
K8Zn8S12O48,198
Bi4Sb4Pt4,198
Na4Al4Si4O16,198
Si4Os4,198
Ce16Si16N24O20,198
Na12Ti4P12N4O36,198
Co4As4Se4,198
Cu8P16H144C48Cl8,198
K4Ti8P12O48,198
Ti8P12H28N4O52,198
Cu16Se8O32,198
K8Yb4Sn4P12O48,198
Na4Sr4P4H72S4O48,198
Ba4Na4In8P12O48,198
Na12Sb4Te12,198
Hg12As4Br4O16,198
As4P4Pt4,198
Ru4Se4S4,198
K8Ni8S12O48,198
Rb36Co8S28,198
Sb4Pt4S4,198
Cs8Ni8Mo12O48,198
Na4Ca4P4H72S4O48,198
Hg12P4Cl4O16,198
Sr32Ga32,198
Na12Mn4O16,198
Y4B12H120N24,198
Ba8Zr8Si12O48,198
Hg12P8S32,198
Cs8Mg8W12O48,198
K36Fe8Se28,198
Na12V4P12N4O36,198
Co4P4Se4,198
Cs8Mg4Zr4P12O48,198
Zr4Se4O4,198
Fe12Si4Ni4,198
Cs8Co8Mo12O48,198
Al4Cu16,198
Co4Se4S4,198
Sb4Te4Pt4,198
Sr32Al32,198
Cu28P4S24,198
Si16H144C52,198
In4H4O8,198
Nb12Zn4Au4,198
Ba4Si4Ge4,198
Tl8Co8S12O48,198
Cu4Te4Se4,198
Fe4Ni4Mo12N4,198
As4Pt4S4,198
Fe4Mo12Pd4N4,198
Be12Tl8Co8F48,198
Fe4Ge4,198
Ni4Se4S4,198
Li28Nb4S24,198
Ce16Zr16O64,198
Li8Ti12Sn4O32,198
Na8Ca4Si4O16,198
Hf4W8O32,198
Cu4Se4S4,198
Ce4Si4Rh4,198
Cr4Si4,198
V12Cu4O32,198
Zr4W8O32,198
Hg4Pd4,198
Eu8Zr8O24,198
Hf16Zr16O64,198
Na36Cu8O28,198
Ag4Hg4,198
Ba8In8P12O48,198
Mn12Si4Ni4,198
Tb16Ce16O64,198
Pr16Hf16O64,198
Ce16Hf16O64,198
Hf4Sn4,198
Li8V12Co4O32,198
Cu16As4,198
Li12Sb4O12,198
Rb36Fe8S28,198
Mn12Si4Ir4,198
Na4Mn4H12C12O24,198
Sr36Al24,198
K8Be12Co8F48,198
Rb36Fe8Se28,198
Mo4H72C20N16O16,198
Rb8Be12Co8F48,198
Eu4Mg4Ni4,198
Li12Bi4O12,198
Mn4Ge4,198
Sn24H224C72I8N8,198
Cr4Ge4,198
Rb8Mn8Mo12O48,198
Mn12Ge4Ir4,198
K8Fe8P12O48,198
Rb8Co8S12O48,198
Li12Nd8N36O120,198
Cs36Fe8S28,198
K8Mn8Be12F48,198
Cu8Sn24H216C72N8Cl8,198
Sn4Au4,198
Rb8Fe8P12O48,198
Rb8Zr4Fe4P12O48,198
Rb8Co8Mo12O48,198
K8Fe8S12O48,198
Rb8Ti4Fe4P12O48,198
Cs8Mn8Be12F48,198
Na24Zn12P16O76,198
Cr4H72C20N16O16,198
Cu12Sn4Au4,198
Li8Ti12Fe4O32,198
Na12Sb4S16O36,198
Na24Zn12As16O76,198
Cs8Mn8Cr12O48,198
Rb8Fe8S12O48,198
Ca8Sn8S24,198
Cs8Fe8Mo12O48,198
Ag16Te4N8O24,198
Na4Ca4P12O24,198
Li24Mn4Si4O24,198
Ag12S4N4O12,198
K8B8S12O48,198
Tl4Co4C16O16,198
H4C4N4,198
La4Al4N24O96,198
Cs8S20O48,198
Ag16Te4Cl8O24,198
V8S12N8O48,198
Sr4Mn8O44,198
Cr4Sb4Pt4,198
Fe8S12N8O48,198
Mn8S12N8O48,198
Be12Zn8N8F48,198
Be12Co8N8F48,198
Mg8Be12N8F48,198
Co8S12N8O48,198
Be12Cd8N8F48,198
Ca8S12N8O48,198
Ni8S12N8O48,198
Mn8Be12N8F48,198
Cd8S12N8O48,198
Ba4Na4P4S4O48,198
Tl4Fe4C12N4O16,198
Mn8Se12N8O48,198
Fe4Sb4Pt4,198
Th8N28O4F60,198
Mn8Cr12N8O48,198
Mg8S12N8O48,198
Ga16Sb4S36N12O8,198
U8Co8,199
Ni12Pb8S8,199
Rb12H48N20,199
Rb8Pb8O12,199
Hg12Se8F8,199
Cs8Pb8O12,199
U12Ni12Sn8Sb8,199
Pu8U8C24,199
K8Pb8O12,199
Bi8Pd12S8,199
Hg12S8Cl8,199
Hg12Se8Cl8,199
Hg12Te8Cl8,199
Hg12Te8Br8,199
Pd12Pb8S8,199
Ba12Fe8Br8O20,199
Cs8Ba8C12O36,199
Li16Ca24Be24Si24O96F16,199
Ba12Fe8Cl8O20,199
Ni12Bi8S8,199
Sb8H24O8F48,199
Hg12S8F8,199
Pr20Al8Ru12,199
K8Sn8O12,199
Ce20Al8Ru12,199
K8Ge8O12,199
Pr8Nd8Sb12,199
Cs8Sr8C12O36,199
Rb8Sr8C12O36,199
Na8Ca12Al8F56,199
K32Re48Te8C48S56N48,199
Rb48Yb32P48O192,199
Cu8H24N8Cl8,199
Li32B8H80N24,199
Bi8Pt12Se8,199
Ag24Au8Se8S8,199
Zn12Cu12Te8O48,199
Co12Cu12Te8O48,199
Th12Sb8As8,199
La8Y8C24,199
Y8Th8C24,199
Li48La24Nb16O96,199
Li8Bi24O48,199
Na8Sn8O12,199
Cr48N32,199
La8Lu8C24,199
Na8H24C32S32O96F96,199
H8C8,199
Zn32As24N8O104,199
Na1Cl7,200
Sc114Pt26,200
K6Na14Mg1Tl18,200
Na1Y1Pd6O8,200
Na1Yb1Pd6O8,200
Na1Tb1Pd6O8,200
Na1Tm1Pd6O8,200
Na1Ho1Pd6O8,200
Na1Dy1Pd6O8,200
Na1Er1Pd6O8,200
Sc114Ru26,200
K6Na14Tl18Cd1,200
V6Fe1Ni1,200
V6Si1Ge1,200
Al1V6Ge1,200
Mg6Al15Cu18,200
Mg6Zn33,200
Sc114Rh26,200
Mg6Ga15Cu18,200
K49Tl108,200
Na1Lu1Pd6O8,200
Nb6Os1Au1,200
V6Co1Ni1,200
V6Ga1Si1,200
V6Ga1Ge1,200
Sc114Ir26,200
Na6Cd33,200
Ti6Pt1Au1,200
K6Na14Tl18Zn1,200
Nb6Ru1Rh1,200
Al1Cr6Si1,200
K6Na14Tl18Hg1,200
Al1V6Sn1,200
V6Co1Rh1,200
Ca6Cd32Cu1,200
Al1V6Sb1,200
Nb6Pt1Au1,200
Mn24Al114,200
Nb6Pd1Pt1,200
V6Ge1Os1,200
Nb6Pd1Rh1,200
Al6Ge1W1,200
V6Si1Os1,200
V6Ga1Sn1,200
Na6In15Au18,200
Li3W8O24,200
V6Ga1Sb1,200
Ni18H72N36,200
V6Si1Sn1,200
Sc116Fe24,200
Al102Re24Si12,200
K6Na15Tl18H1,200
Nb6Al1Sn1,200
Nb6Al1Sb1,200
Nb6Sn1Ge1,200
Nb6Ge1Pt1,200
Na1La1Ti8Cu6O24,200
Nb6Al1Ge1,200
Nb6Ga1Sn1,200
Nb6Al1Ga1,200
Nb6Ga1Sb1,200
Na1Ti8Cu6Bi1O24,200
Nb6Ga1Ge1,200
Pd7O8,200
Nb6Si1Sn1,200
Nb6Al1Si1,200
Nb6Si1Ge1,200
Nb6Ga1Si1,200
Mg60Al48Ag38,200
Ge12Ir8S12,200
Sn12Ir8S12,200
Al78Fe14Cu48,200
Sr6C120,200
Ge12Ir8Se12,200
Ge12Rh8S12,200
V6Si1C1,200
Cs1Hg1N3O6,200
Tl1Hg1N3O6,200
Rb1Hg1N3O6,200
Cs1Cd1N3O6,200
Tl1Cd1N3O6,200
K1Cd1N3O6,200
Rb1Cd1N3O6,200
Cd1N4O6,200
Cu8W24Br56,201
K12Tl4F24,201
K12In4F24,201
Hg4Mo24Cl56,201
Cd4W24Br56,201
Cu8W24Cl56,201
K12Bi12O36,201
Bi12Ru12O44,201
Bi12Pt12O44,201
Cu8Mo24Cl56,201
Mo24Pb4I56,201
Cu8Mo24Br56,201
Mo24Pb4Cl56,201
Rb6Tm4Cu8Br26,201
K12Ir12O36,201
Mo24Pb4Br56,201
La12Pt12O44,201
Bi12Ir12O44,201
La12Ir12O44,201
Na4Bi8Sb12O44,201
La12Ru12O44,201
Co4W24Cl56,201
Ag4W24Br56,201
Y16Cd4Mo12O64,201
K12Sb12O36,201
Ca2Ga4Cu6Ru4O24,201
La12Bi12O44,201
W24Br56,201
Fe4W24Cl56,201
Ca2Fe4Cu6Sb4O24,201
Ca2Cr4Cu6Sb4O24,201
Ca2Ga4Cu6Sb4O24,201
Ce2Tl10Co4N24O48,201
Rb10Ce2Co4N24O48,201
Ce2Tl10Ni4N24O48,201
Cs10Ce2Cu4N24O48,201
K10Y2Ni4N24O48,201
Y2Tl10Co4N24O48,201
K10Ce2Ni4N24O48,201
K10Y2Co4N24O48,201
Ce2Tl10Cu4N24O48,201
K10Ce2Cu4N24O48,201
Rb10Ce2Cu4N24O48,201
Rb10Ce2Ni4N24O48,201
K10Ce2Co4N24O48,201
Cs10Ce2Ni4N24O48,201
Ce2Tl10Fe4N24O48,201
K10Ce2Fe4N24O48,201
Sc12Bi12O44,201
Cd4Pb4O24,201
Ca4Sn4O24,201
Ho4Cu8Br26N6,201
Ce2Ni4N34O48,201
Fe4Sn4O24,201
Cs12Cu80Te52,202
Sc200In8Ir56,202
Sc200In12Rh52,202
Tl8B48H48,202
Rb8B48H48,202
Cs8B48H48,202
K8B48H48,202
B48H80N8,202
Na12Pt48O64,202
U8Be100Cu4,202
K12Co4N24O48,202
U8Be100Ga4,202
K8Na4Co4N24O48,202
Cs8Cu4Pb4N24O48,202
K8Sr4Ni4N24O48,202
Mg208Ag56,202
Tl8Cu4Pb4N24O48,202
K8Cu4Pb4N24O48,202
K8Ni4Pb4N24O48,202
K8Ca4Ni4N24O48,202
Na4H32Rh4N32O48,202
Ni4Pt48O64,202
Rb8Cu4Pb4N24O48,202
Sr12Mn48N48,202
Na4Rh4N32O48,202
Na4Ir4N32O48,202
Na4Co4N32O48,202
Co4N36O48,202
Na48Mg16C32Cl16O96,203
Rb24As8Se128,203
Na48Mg16C32S8O128,203
Na48Sn16B32S8O128,203
Na48V16C32S8O128,203
K24P8Se128,203
K96In32F192,203
K96Tl32F192,203
Na48Ni16C32S8O128,203
Rb64Ga40H120,203
Na48Bi16B32S8O128,203
Na48Ni16P8C32O128,203
Na48Mn16P8C32O128,203
Na48Sn16C32S8O128,203
Na48V16P8C32O128,203
Na48Ni16As8C32O128,203
Li48Ni16C32S8O128,203
Na48Cu16C32S8O128,203
Na48Cr16C32S8O128,203
Na48Co16P8C32O128,203
Na48Cu16P8C32O128,203
Na48Bi16B32P8O128,203
Na48Fe16P8C32O128,203
Na48Mn16B32P8O128,203
Na48Co16C32Cl16O96,203
Na48Fe16B32P8O128,203
Na48V16B32S8O128,203
Na48Cr16P8C32O128,203
Na48Cr16B32S8O128,203
Na48V16As8C32O128,203
Li48Sn16B32S8O128,203
Na48Co16As8C32O128,203
Na48Bi16B32As8O128,203
Li48Cu16C32S8O128,203
Na48Cu16As8C32O128,203
Li48V16C32S8O128,203
Na48Cr16As8C32O128,203
Na48Fe16B32As8O128,203
Na48Co16B32S8O128,203
Li48Mn16B32S8O128,203
Na48B32Sb16S8O128,203
Li48Ni16P8C32O128,203
Na48Sn16P8C32O128,203
Na48Bi16P8C32O128,203
Li48Bi16B32S8O128,203
Li48V16B32S8O128,203
Na48B32Sb16P8O128,203
Na48Co16C32S8O128,203
Na48V16B32As8O128,203
Na48V16B32P8O128,203
Na48Fe16C32S8O128,203
Na48Bi16C32S8O128,203
Li48Co16C32S8O128,203
Na48Bi16As8C32O128,203
Na48Cr16B32P8O128,203
Cd64B32O128,203
Na48Fe16B32S8O128,203
Li48Fe16B32S8O128,203
Na48Mn16B32S8O128,203
Na48Fe16As8C32O128,203
Na48Si8Ni16C32O128,203
Li48Fe16C32S8O128,203
Na48Mn16B32As8O128,203
Na48Mn16C32S8O128,203
Li48Mn16P8C32O128,203
Li48Mn16C32S8O128,203
Na48Mn16As8C32O128,203
Cr16Ni16H512N104Cl88O96,203
N12O24,204
Re8O24,204
Ce2P24Ru8,204
Ce2P24Os8,204
La2P24Os8,204
Ce2As24Ru8,204
Ce2Fe8As24,204
Sr2Fe8Cu6O24,204
La2Fe8Cu6O24,204
La2As24Os8,204
Y2Cr8Cu6O24,204
Yb2Co8P24,204
Ce2Sb24Os8,204
Ba2Sb24Os8,204
La2Sb24Os8,204
La2Cr8Cu6O24,204
Nd2As24Os8,204
Al24W2,204
Pr2As24Ru8,204
Ce2Fe8Sb24,204
La2Ge24Pt8,204
Nd2P24Os8,204
Pr2Fe8Sb24,204
Eu2P24Ru8,204
Sr2Fe8Sb24,204
La2Sb24Ru8,204
Pr2P24Os8,204
Th2As24Os8,204
Nd2Sb24Ru8,204
Pr2Fe8As24,204
Ba2Fe8Sb24,204
Ce2Sb24Ru8,204
Ce2As24Os8,204
Ce2Ge24Pt8,204
Be136Os24,204
Yb2Fe8Sb24,204
Y24In2Ni12,204
Th2P24Ru8,204
Tb24Ni12Pb2,204
Sm24Co12Sn2,204
Rb12Na8Tl26,204
Sm24In2Co12,204
Sm24Co12Pb2,204
Np2Fe8P24,204
Nd2Fe8As24,204
Pr24Co12Pb2,204
Nd24Co12Pb2,204
Pr24In2Co12,204
Pr24Ni12Pb2,204
Nd24Ni12Pb2,204
Nd24In2Co12,204
Nd24In2Ni12,204
K12Na8Tl26,204
La24Co12Pb2,204
La24Ni12Pb2,204
K2Fe8Sb24,204
Ho24Ni12Pb2,204
Gd2Fe8P24,204
Gd24Co12Pb2,204
Dy24Ni12Pb2,204
Cs12Na8Tl26,204
Sb24Ir8,204
Yb2Fe8P24,204
Co8Sb24,204
Ca2Fe8Sb24,204
P24Rh8,204
P24Ir8,204
Nd2Fe8Sb24,204
La2P24Ru8,204
Ce2Fe8P24,204
Pr2Fe8P24,204
Nd2Fe8P24,204
Al24Re2,204
Al24Tc2,204
Co8P24,204
Na2Fe8Sb24,204
Eu2Sb24Ru8,204
U2Fe8P24,204
La2Fe8As24,204
Sr2Sb24Ru8,204
Ni8P24,204
Sb24Rh8,204
La2Fe8Sb24,204
Be136Ru24,204
Li52Ga84Cu24,204
Nd2Sb24Os8,204
Pr2Sb24Os8,204
Pr2P24Ru8,204
Co8As24,204
Nd24Co12Sn2,204
U14Pd48S64,204
As24Ir8,204
Nd24Ni12Sn2,204
Yb2Mn8Cu6O24,204
Cs12Hg162,204
La2Fe8P24,204
Y24Ni12Pb2,204
Ba2Ge24Pt8,204
As24Rh8,204
Th2Fe8P24,204
Fe8Sb24,204
Ba2Sb24Ru8,204
Y2Cu14O24,204
Tb2Fe8P24,204
Sm2Sb24Os8,204
Yb38Mg16H108,204
Mn2Al24,204
Sr2Mn14O24,204
Sc24Zn136,204
Dy8Ni24Sn50,204
Yb2Sb24Os8,204
Yb2Fe8Cu6O24,204
Nd2P24Ru8,204
Th2Ge24Pt8,204
Pr2Ge24Pt8,204
Ca2Sb24Os8,204
Ca38Mg16H108,204
Ni8Sb24,204
Na2Cu6Ru8O24,204
Ba2As24Ru8,204
Ca2Co8Cu6O24,204
Nd2Ge24Pt8,204
Al24Mo2,204
Tb2Fe8Cu6O24,204
Pr2Fe8Cu6O24,204
Eu2Mn8Cu6O24,204
Ca2Cr8Cu6O24,204
Ce8Sn50Pt24,204
Y2Fe8Cu6O24,204
Ca26Ge44Au100,204
Sr2Cu6Ru8O24,204
Ca2Mn14O24,204
Ca2Mn8Cu6O24,204
Pr2Mn14O24,204
Sm2Ge24Pt8,204
Pr2Mn8Cu6O24,204
Cu6Sb8O24,204
Nd2Fe8Cu6O24,204
Sm2Fe8Cu6O24,204
Cr8Cu6O24,204
Eu2Sb24Os8,204
Mn14Pb2O24,204
Sm2Mn8Cu6O24,204
Ca2Cu6Ru8O24,204
Nd2Mn8Cu6O24,204
Tb2P24Ru8,204
Na2Mn14O24,204
Nd2Mn14O24,204
Yb24Zn136,204
Eu2Fe8Cu6O24,204
Nd2Cu6Ru8O24,204
Gd2Mn8Cu6O24,204
Ce2Mn8Cu6O24,204
La2Ti8Mn6O24,204
Th2Mn8Cu6O24,204
Ce8Sn50Pd24,204
Ca2Fe8Cu6O24,204
Mn8Cu6Bi2O24,204
Ca2Ti8Fe6O24,204
Tb2Mn8Cu6O24,204
Dy2Fe8Cu6O24,204
Pr2Cu6Ru8O24,204
Y2Mn8Cu6O24,204
La2Mn6Cr8O24,204
Dy2Mn8Cu6O24,204
Na2Ti8Cu6O24,204
Ho2Fe8Cu6O24,204
Tm2Mn8Cu6O24,204
Sr10Ir12O36,204
Ho2Mn8Cu6O24,204
Er2Mn8Cu6O24,204
Er2Fe8Cu6O24,204
Mn8Cu6O24,204
Sr2Cu6Sn8O24,204
Mn14O24,204
Ca2Cu6Ni8O24,204
Ca2Ti8Cu6O24,204
K162,204
Ca2V8Co6O24,204
Lu2Mn8Cu6O24,204
Mn14Cd2O24,204
Tm2Fe8Cu6O24,204
Cu6Sn8O24,204
Sr2Ti8Cu6O24,204
Y2Ti8Cu6O24,204
Co8Sn2Sb24,204
U2Ge24Pt8,204
Yb38Mg16,204
Ca2Cu6Mo8O24,204
Co8Cu6O24,204
P24Pd8,204
Ti8Cu6O24,204
Ce2Fe8Cu6O24,204
La2Mn8Cu6O24,204
Mg2Co8Cu6O24,204
Lu2Fe8Cu6O24,204
Li2Mn14O24,204
Yb8H96C24N72,204
Ir8N24,204
Mg64Al72Ag26,204
V8Cu6O24,204
Ca2Cu6Sn8O24,204
Cu6Sn8Pb2O24,204
Ca2Cu6Pt8O24,204
Ho16Mg24Zn122,204
Ti8Cd2Cu6O24,204
Nd2Mn6V8O24,204
Ca2Cu6Ir8O24,204
Ca8Si8O24,204
Zn2Co8Cu6O24,204
Eu12C120,204
Ca2V8Cu6O24,204
Na2V8Cu6O24,204
Cu6Ge8O24,204
Mg2Fe8Cu6O24,204
Mg2Mn8Cu6O24,204
Fe8Cu6O24,204
Zn2Cr8Cu6O24,204
Pr2Co8P24,204
Nd2Co8P24,204
Ca2Cu6Bi8O24,204
Mg2Cu6Ni8O24,204
Ca2Cu6Ge8O24,204
Mn8Zn2Cu6O24,204
Y2Cu6Ag8O24,204
Mn2V8Cu6O24,204
Ti8Zn6Sn2O24,204
Ca2Ti8Pd6O24,204
Zn2Cu6Ni8O24,204
Cu6Ni8O24,204
Y2Co8Cu6O24,204
Mg2Cu6Mo8O24,204
Y2Cu6Sn8O24,204
Mg2Ti8Cu6O24,204
Zn2Cu6Mo8O24,204
Mg2V8Cu6O24,204
Ti8Zn2Cu6O24,204
Ta8O24,204
Mg2Cu6Sn8O24,204
Ca2Cu6Sb8O24,204
Y2Cu6Sb8O24,204
Co8Ni2Sb24,204
Zn2Cu6Sn8O24,204
Cu6W8O24,204
Mg2Cu6Bi8O24,204
Zn2Cu6Bi8O24,204
Ti8Fe6O24,204
Al8H24C30O62,204
Y2Cu6Bi8O24,204
In8H24C30O62,204
Mg2Ta8O24,204
Ga8H24C30O62,204
Y2Cu6Ni8O24,204
Rb24Pd8,204
Nb8O24,204
Zn2Cu6Sb8O24,204
Al2Cu14O24,204
Al2Cr8Cu6O24,204
Mg2Cu6Sb8O24,204
Fe8H24C30O62,204
Ba12C120,204
Y2Cu6Mo8O24,204
Sr12C120,204
Al2Co8Cu6O24,204
Ca2V8Pd6O24,204
Cs12C120,204
Mn8Al2Cu6O24,204
K12C120,204
Rb12C120,204
Eu2Fe8P24,204
Eu2Ge24Pt8,204
Al2Fe8Cu6O24,204
Gd2Fe8Cu6O24,204
Ti8Al2Cu6O24,204
Al2Cu6Mo8O24,204
Sm12C120,204
Al2Cu6Ag8O24,204
Al2Cu6Sn8O24,204
Co8N24,204
Al2Cu6Bi8O24,204
Al2Cu6Sb8O24,204
Rh8N24,204
Ga8O24,204
Lu8O24,204
Mg2Cr8Cu6O24,204
Ni4H48Cl8O48,205
Cs4Al4H96S8O80,205
Cs4Ti4H96S8O80,205
H24N8Cl8,205
Ba12Nb24N48,205
Ba12Ta24N48,205
Cd4S8,205
Zn4S8,205
Ba4Mn36V24H8O104,205
Sr4P8Pt24,205
Cs4Y4Se8O24,205
Na16Mg16P48O144,205
Li8B48H48,205
